cust_id,lookalikes
C0001,"[('C0184', 0.8153), ('C0152', 0.8153), ('C0192', 0.7914)]"
C0002,"[('C0159', 0.94), ('C0134', 0.8803), ('C0106', 0.8765)]"
C0003,"[('C0031', 0.8934), ('C0195', 0.8681), ('C0129', 0.8463)]"
C0004,"[('C0113', 0.9274), ('C0104', 0.7778), ('C0012', 0.7388)]"
C0005,"[('C0007', 0.9616), ('C0159', 0.8451), ('C0140', 0.8442)]"
C0006,"[('C0187', 0.889), ('C0048', 0.8019), ('C0158', 0.702)]"
C0007,"[('C0005', 0.9616), ('C0140', 0.8655), ('C0159', 0.8347)]"
C0008,"[('C0098', 0.8293), ('C0194', 0.8275), ('C0046', 0.7346)]"
C0009,"[('C0198', 0.9178), ('C0060', 0.9142), ('C0119', 0.9017)]"
C0010,"[('C0062', 0.843), ('C0135', 0.722), ('C0198', 0.7106)]"
C0011,"[('C0153', 0.8362), ('C0118', 0.8249), ('C0107', 0.8156)]"
C0012,"[('C0039', 0.8536), ('C0148', 0.7847), ('C0163', 0.7804)]"
C0013,"[('C0099', 0.8853), ('C0087', 0.7853), ('C0169', 0.7558)]"
C0014,"[('C0009', 0.8997), ('C0060', 0.8361), ('C0121', 0.8273)]"
C0015,"[('C0058', 0.8946), ('C0131', 0.8599), ('C0036', 0.8547)]"
C0016,"[('C0117', 0.9159), ('C0183', 0.8019), ('C0024', 0.7771)]"
C0017,"[('C0075', 0.9461), ('C0041', 0.8141), ('C0051', 0.7741)]"
C0018,"[('C0068', 0.8124), ('C0050', 0.7554), ('C0183', 0.7456)]"
C0019,"[('C0121', 0.7894), ('C0119', 0.7886), ('C0132', 0.7215)]"
C0020,"[('C0050', 0.8664), ('C0058', 0.8161), ('C0015', 0.7893)]"
